params,ari_mean,ari_std,ari_median,nmi_mean,nmi_std,nmi_median,silhouette_mean,silhouette_std,silhouette_median,davies_bouldin_mean,davies_bouldin_std,davies_bouldin_median,coverage_mean,coverage_std,coverage_median,n_runs_ok,dataset,config_id
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 10, 'n_transporter_agents': 20, 'tau_percentile': 15, 'iterations': 2500}",0.2425442816648617,0.04230867715895377,0.23030696314676327,0.48594361037971434,0.02484889447246546,0.48831161053858396,-0.5726129176115042,0.039737253790038465,-0.5700356165593942,12.755748590871539,4.342903457028261,11.68202594824082,1.0,0.0,1.0,30,wine,154
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 10, 'n_transporter_agents': 3, 'tau_percentile': 15, 'iterations': 2500}",0.2406335418989047,0.04675008989708574,0.2354475082185551,0.4849578788868573,0.024184907723794218,0.48244843874660415,-0.5853183037216925,0.05047727851283987,-0.5946344957719045,13.195188694878967,4.093278043571117,12.58706437184316,1.0,0.0,1.0,30,wine,150
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 10, 'n_transporter_agents': 10, 'tau_percentile': 15, 'iterations': 2500}",0.23834152953854423,0.04467534854294972,0.22391090379187883,0.48603522551388795,0.024337256378415256,0.4827517924831878,-0.5807504596042427,0.054291970428066556,-0.5830019240341711,12.755205864708852,4.101202435582179,11.873485893264615,1.0,0.0,1.0,30,wine,152
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 20, 'n_transporter_agents': 20, 'tau_percentile': 15, 'iterations': 2500}",0.23759513257534903,0.044616613726334624,0.2383377895728405,0.49019793045796417,0.03018369567808751,0.4860135973630839,-0.5825283263919994,0.05432691317876075,-0.5684341960997176,13.691046922864292,6.7744422419310135,12.20127395229845,1.0,0.0,1.0,30,wine,160
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 20, 'n_transporter_agents': 3, 'tau_percentile': 15, 'iterations': 2500}",0.23322972384963706,0.04463846907196857,0.2275880967827402,0.4798690732179897,0.025867176904871305,0.4777365701447326,-0.5926127926927044,0.050918952318186855,-0.6047876568260714,13.207710914506855,3.5077460836280987,12.578755977269605,1.0,0.0,1.0,30,wine,156
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 20, 'n_transporter_agents': 10, 'tau_percentile': 15, 'iterations': 2500}",0.23216768366036275,0.041709189526310156,0.22884937427358212,0.4851982824719259,0.02600667136631225,0.4848996834681387,-0.5945743093955644,0.05383784716696027,-0.6063035583012104,12.889303268976837,3.1705108743329298,12.465117629366691,1.0,0.0,1.0,30,wine,158
"{'grid_scale': 4.0, 'beacon_radius': 8, 'local_beacon_cap': 5, 'n_marker_agents': 20, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.15642092113489012,0.02285351100593179,0.1570905678648407,0.42177288653733497,0.02524612897212141,0.4201459133796832,-0.6000737604327477,0.05612147630569562,-0.5839195279032492,15.41774390872166,4.10017840307986,15.175662876702948,1.0,0.0,1.0,30,wine,89
"{'grid_scale': 4.0, 'beacon_radius': 8, 'local_beacon_cap': 5, 'n_marker_agents': 20, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.15630913366426039,0.017762513648293173,0.15330233690267675,0.41686904027957955,0.020793646065856694,0.4203337364467678,-0.6048144807732138,0.05712254138714065,-0.5933373604670962,16.536832509149413,3.3707543137219926,16.392848143530745,1.0,0.0,1.0,30,wine,85
"{'grid_scale': 4.0, 'beacon_radius': 8, 'local_beacon_cap': 8, 'n_marker_agents': 20, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.15531643029281061,0.01890199478661914,0.15624754922065331,0.43594173539957237,0.02032317771851441,0.43695067594359316,-0.6479171707492777,0.038044224953197425,-0.6381921793955866,14.926588111942854,3.209927942519845,14.641750996428465,1.0,0.0,1.0,30,wine,103
"{'grid_scale': 4.0, 'beacon_radius': 8, 'local_beacon_cap': 8, 'n_marker_agents': 10, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.15519661804152793,0.01753069948206601,0.15446618922849042,0.4369614670484617,0.018510315160700678,0.4362777526191469,-0.6527005924949606,0.044935959830582864,-0.6621675611460724,14.169397128303848,3.073925031756905,14.161441026330678,1.0,0.0,1.0,30,wine,97
